Channel:,Lum, Red, Green, Blue
Means:,600,5776, 760,5595, 697,8486, 343,5733
Note: Peaks measured from 20% upward
795, 7, 8, 5, 8
796, 3, 4, 5, 8
797, 1, 7, 7, 7
798, 3, 0, 4, 8
799, 10, 3, 2, 8
800, 6, 8, 6, 4
801, 3, 10, 4, 7
802, 3, 7, 7, 5
803, 3, 4, 6, 4
804, 2, 2, 6, 6
805, 11, 8, 7, 3
806, 4, 3, 5, 7
807, 3, 5, 5, 7
808, 5, 4, 6, 5
809, 7, 7, 6, 3
810, 2, 2, 5, 7
811, 2, 4, 3, 7
812, 7, 5, 6, 6
813, 5, 1, 3, 12
814, 3, 7, 3, 8
815, 4, 2, 2, 5
816, 7, 3, 1, 5
817, 1, 6, 3, 2
818, 5, 7, 4, 5
819, 3, 7, 7, 5
820, 3, 2, 10, 6
821, 7, 2, 3, 9
822, 3, 3, 2, 8
823, 5, 6, 4, 7
824, 4, 5, 3, 7
825, 4, 6, 5, 1
826, 8, 5, 7, 2
827, 2, 5, 4, 5
828, 3, 2, 4, 3
829, 3, 2, 6, 9
830, 0, 3, 3, 5
831, 3, 3, 3, 6
832, 2, 4, 2, 7
833, 10, 3, 4, 4
834, 5, 0, 5, 6
835, 3, 3, 9, 5
836, 5, 5, 6, 6
837, 5, 4, 3, 9
838, 7, 7, 2, 3
839, 4, 4, 4, 4
840, 2, 4, 9, 8
841, 4, 1, 5, 7
842, 4, 7, 6, 3
843, 5, 2, 7, 6
844, 0, 3, 3, 7
845, 4, 4, 8, 6
846, 6, 6, 5, 4
847, 8, 2, 2, 2
848, 5, 10, 3, 2
849, 0, 7, 3, 2
850, 6, 6, 4, 6
851, 4, 4, 5, 1
852, 6, 6, 4, 4
853, 4, 3, 3, 9
854, 3, 4, 6, 6
855, 5, 3, 5, 9
856, 5, 3, 2, 7
857, 7, 3, 0, 5
858, 2, 4, 2, 5
859, 4, 5, 4, 8
860, 2, 6, 5, 6
861, 5, 10, 8, 5
862, 4, 2, 4, 7
863, 5, 1, 4, 5
